enrollment_id,course_name,enrollment_year,final_grade,hours_studied,completion_status
ENR-54907,SQL Basics,2023,C,28.627886495373815,Completed
ENR-280679,Statistics 101,2024,B,0.12204238153512748,In Progress
ENR-91421,SQL Basics,2024,B,26.37178240588669,Completed
ENR-806309,Python for Beginners,2025,C,33.16170291620124,Completed
ENR-427023,Tableau Fundamentals,2025,D,27.816512897264186,Completed
ENR-279501,SQL Basics,2022,A,14.626479490858014,Completed
ENR-112931,Tableau Fundamentals,2023,F,3.639003985467024,In Progress
ENR-879234,Python for Beginners,2023,B,11.26335454399884,In Progress
ENR-944975,Python for Beginners,2023,D,45.87420566237904,Completed
ENR-917321,Intro to Analytics,2022,A,21.87271418041118,Completed
ENR-40007,Python for Beginners,2025,A,68.57661910434801,In Progress
ENR-397540,Python for Beginners,2023,D,50.2142358496926,In Progress
ENR-562248,Intro to Analytics,2023,D,33.88418735315878,Completed
ENR-589633,Intro to Analytics,2025,A,24.775772342630773,In Progress
ENR-348334,Python for Beginners,2022,A,18.292765460184363,Completed
ENR-357352,Tableau Fundamentals,2024,D,28.188609169355686,Completed
ENR-893477,Statistics 101,2025,B,31.325685490912914,Completed
ENR-54422,Intro to Analytics,2023,A,9.923833268075672,Completed
ENR-167418,Intro to Analytics,2024,A,0.47774383005929977,Completed
ENR-141618,Statistics 101,2022,B,26.7279306102803,In Progress
ENR-353597,Python for Beginners,2023,B,33.09843542913292,Completed
ENR-588211,Tableau Fundamentals,2022,B,17.153134329562334,Completed
ENR-350010,SQL Basics,2024,B,38.94392772937339,Completed
ENR-735775,Statistics 101,2022,B,8.413390906663917,Completed
ENR-257072,SQL Basics,2025,D,39.411635697518626,Completed
ENR-171732,Statistics 101,2022,D,25.383396521493896,Completed
ENR-1751,Intro to Analytics,2025,C,54.817153974674376,In Progress
ENR-949910,Intro to Analytics,2025,F,39.578633258352,Completed
ENR-457468,Python for Beginners,2024,B,35.17715654953613,Dropped
ENR-811165,Tableau Fundamentals,2022,A,32.12844062058775,Completed
ENR-91869,Statistics 101,2024,B,46.12930418058261,Completed
ENR-921310,Statistics 101,2023,B,0.0,Completed
ENR-626628,Statistics 101,2022,B,33.22326313377094,Completed
ENR-395936,Python for Beginners,2022,A,14.23761217352504,Completed
ENR-73271,Tableau Fundamentals,2025,A,58.42013816306866,Completed
ENR-6915,SQL Basics,2022,C,46.57652225646066,In Progress
ENR-330782,Python for Beginners,2022,B,52.23101436808682,In Progress
ENR-767598,Statistics 101,2025,D,21.00438646977261,Completed
ENR-470099,Intro to Analytics,2022,C,51.19342882328974,Completed
ENR-106993,Tableau Fundamentals,2022,B,22.11146780198827,Completed
ENR-949379,SQL Basics,2023,A,69.53528049942204,Completed
ENR-46019,Intro to Analytics,2022,A,9.476984670770786,Completed
ENR-97270,Tableau Fundamentals,2022,A,3.568091333949937,Completed
ENR-699545,SQL Basics,2022,B,21.691760978421648,Completed
